match_number,date,group,team_a,team_b,score_a,score_b
1,2026-06-11,A,Mexico,South Africa,2,0
2,2026-06-11,A,South Korea,Czech Republic,2,1
3,2026-06-12,B,Canada,Bosnia and Herzegovina,1,1
4,2026-06-12,D,United States,Paraguay,4,1
5,2026-06-13,B,Qatar,Switzerland,1,1
6,2026-06-13,C,Brazil,Morocco,1,1
7,2026-06-13,C,Haiti,Scotland,0,1
8,2026-06-13,D,Australia,Turkey,2,0
9,2026-06-14,E,Germany,Curacao,7,1
10,2026-06-14,F,Netherlands,Japan,2,2
