year,accuracy,macro_f1,log_loss,brier,n
2010,0.515625,0.40567765567765574,1.0259936249909378,0.6139915171003345,64
2014,0.59375,0.48088151927437633,0.9694627767808388,0.5716776484254738,64
2018,0.578125,0.429872495446266,0.9737455452524229,0.5800527720760922,64
2022,0.546875,0.41358411703239284,0.994947015160137,0.5865029232716235,64
