model,n,accuracy,macro_f1,log_loss,brier
random_forest,256,0.55859375,0.4321002413052622,0.9910372405460841,0.588056215218381
logistic_regression,256,0.53125,0.43094745908699394,1.0195449804761343,0.596192412387312
xgboost,256,0.51171875,0.4610209436240364,1.0962896945293799,0.6403318236352677
lightgbm,256,0.5,0.4445734432479646,1.1428435750989876,0.6631212450662709
hist_gradient_boosting,256,0.48046875,0.41575547081825465,1.1892369255818356,0.6771835285048453
prior_baseline,256,0.3984375,0.36068518090394175,21.682510241890782,1.203125
majority_baseline,256,0.39453125,0.18860877684407096,21.82330576294202,1.2109375
